Note,This file is generated by the map editor. Don't edit it by hand because your changes will be overwritten. See SourceMap.xml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell,1129.355225,3263.985107,654,2,-1.000000,20000.000000,1025,,4,706,1211.689941,3283.374268,1211.619019,3279.407227,602,1098.809448,3198.944580,1072.210205,3250.534912,652,1138.787354,3196.361084,1098.809448,3198.944580,704,1211.619019,3279.407227,1138.787354,3196.361084,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1211.619019,3279.407227,1138.787354,3196.361084,1098.809448,3198.944580,1072.210205,3250.534912,1211.689941,3283.374268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1081.414795,3503.675537,655,2,-1.000000,20000.000000,1025,,4,656,1160.703613,3477.606201,1009.677368,3397.416016,618,1111.864136,3527.983643,1160.703613,3477.606201,597,989.789795,3411.201172,990.416382,3430.957275,603,1009.677368,3397.416016,989.789795,3411.201172,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1009.677368,3397.416016,989.789795,3411.201172,990.416382,3430.957275,1111.864136,3527.983643,1160.703613,3477.606201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1137.876953,3397.348633,656,2,-1.000000,20000.000000,8192,,6,651,1212.446777,3325.629639,1041.042603,3336.582275,706,1261.343994,3381.379150,1212.446777,3325.629639,695,1168.091797,3477.640625,1261.343994,3381.379150,618,1160.703613,3477.606201,1168.091797,3477.640625,655,1009.677368,3397.416016,1160.703613,3477.606201,603,1041.042603,3336.582275,1009.677368,3397.416016,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1009.677368,3397.416016,1160.703613,3477.606201,1168.091797,3477.640625,1261.343994,3381.379150,1212.446777,3325.629639,1041.042603,3336.582275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1148.034180,-1701.603516,657,3,-1.000000,20000.000000,512,,6,605,1022.676453,-1706.099854,1090.763672,-1584.382080,599,1051.016968,-1800.914307,1022.676453,-1706.099854,718,1245.854248,-1587.098755,1271.998291,-1753.883423,658,1090.763672,-1584.382080,1245.854248,-1587.098755,644,1173.889038,-1840.130371,1051.016968,-1800.914307,708,1271.998291,-1753.883423,1173.889038,-1840.130371,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1271.998291,-1753.883423,1173.889038,-1840.130371,1051.016968,-1800.914307,1022.676453,-1706.099854,1090.763672,-1584.382080,1245.854248,-1587.098755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1152.104492,-1469.238281,658,3,-1.000000,20000.000000,512,,7,657,1245.854248,-1587.098755,1090.763672,-1584.382080,718,1265.784546,-1564.641235,1245.854248,-1587.098755,605,1090.763672,-1584.382080,1024.235718,-1484.762695,606,1024.235718,-1484.762695,1107.474731,-1321.422974,639,1107.474731,-1321.422974,1133.828491,-1313.178833,697,1133.828491,-1313.178833,1235.009766,-1361.169922,716,1235.009766,-1361.169922,1265.784546,-1564.641235,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,1235.009766,-1361.169922,1265.784546,-1564.641235,1245.854248,-1587.098755,1090.763672,-1584.382080,1024.235718,-1484.762695,1107.474731,-1321.422974,1133.828491,-1313.178833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1154.671875,-3372.238281,659,1,-1.000000,20000.000000,512,,5,610,1032.796021,-3331.549072,1101.013062,-3264.198486,607,1094.830078,-3508.359619,1032.796021,-3331.549072,679,1243.884521,-3465.919189,1094.830078,-3508.359619,713,1254.151245,-3277.362793,1243.884521,-3465.919189,661,1101.013062,-3264.198486,1254.151245,-3277.362793,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1254.151245,-3277.362793,1243.884521,-3465.919189,1094.830078,-3508.359619,1032.796021,-3331.549072,1101.013062,-3264.198486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1161.802734,-1037.382813,660,3,-1.000000,20000.000000,512,,5,686,1112.752563,-911.843811,1228.442017,-955.497925,609,1032.807617,-1047.966553,1112.752563,-911.843811,639,1175.537842,-1154.009521,1032.807617,-1047.966553,697,1243.945801,-1116.644287,1175.537842,-1154.009521,709,1228.442017,-955.497925,1243.945801,-1116.644287,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1243.945801,-1116.644287,1175.537842,-1154.009521,1032.807617,-1047.966553,1112.752563,-911.843811,1228.442017,-955.497925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1172.323242,-3166.901367,661,1,-1.000000,20000.000000,1,,6,610,1101.013062,-3264.198486,1070.275513,-3134.259766,659,1254.151245,-3277.362793,1101.013062,-3264.198486,627,1070.275513,-3134.259766,1160.216553,-3044.272949,696,1160.216553,-3044.272949,1387.968140,-3149.963379,713,1389.195801,-3170.607422,1254.151245,-3277.362793,770,1387.968140,-3149.963379,1389.195801,-3170.607422,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1389.195801,-3170.607422,1254.151245,-3277.362793,1101.013062,-3264.198486,1070.275513,-3134.259766,1160.216553,-3044.272949,1387.968140,-3149.963379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1212.267822,3625.843018,662,2,-1.000000,20000.000000,1025,,5,726,1286.298828,3714.629883,1287.914429,3710.580078,663,1114.822510,3661.758789,1286.298828,3714.629883,621,1115.201660,3657.306885,1114.822510,3661.758789,692,1287.914429,3710.580078,1272.434570,3632.997803,694,1150.440552,3618.490479,1115.201660,3657.306885,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1150.440552,3618.490479,1115.201660,3657.306885,1114.822510,3661.758789,1286.298828,3714.629883,1287.914429,3710.580078,1272.434570,3632.997803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1175.132813,3746.294922,663,2,-1.000000,20000.000000,0,,4,578,1012.544067,3774.451416,1011.026367,4096.000000,621,1114.822510,3661.758789,1012.544067,3774.451416,662,1286.298828,3714.629883,1114.822510,3661.758789,726,1362.410156,4096.000000,1286.298828,3714.629883,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1362.410156,4096.000000,1286.298828,3714.629883,1114.822510,3661.758789,1012.544067,3774.451416,1011.026367,4096.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1105.421631,2095.823975,664,2,-1.000000,20000.000000,1025,,4,666,1108.102661,2172.222168,1149.277100,2131.848389,622,1070.453491,2116.430664,1108.102661,2172.222168,632,1070.453491,2116.430664,1108.102661,2172.222168,625,1061.532349,2059.748291,1043.882324,2077.041260,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1149.277100,2131.848389,1061.532349,2059.748291,1043.882324,2077.041260,1070.453491,2116.430664,1108.102661,2172.222168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1197.693604,2038.387939,665,2,-1.000000,20000.000000,1025,,4,666,1175.729614,2105.922363,1200.280518,2108.280762,677,1195.146362,1968.475830,1120.867432,1961.381714,625,1120.867432,1961.381714,1114.588013,2007.683105,624,1114.588013,2007.683105,1175.729614,2105.922363,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1175.729614,2105.922363,1200.280518,2108.280762,1195.146362,1968.475830,1120.867432,1961.381714,1114.588013,2007.683105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1184.433594,2176.402344,666,2,-1.000000,20000.000000,8192,,8,715,1342.142090,2259.146240,1256.030273,2113.636963,691,1169.485107,2299.101074,1342.142090,2259.146240,622,1108.102661,2172.222168,1101.720825,2198.682373,664,1149.277100,2131.848389,1108.102661,2172.222168,675,1256.030273,2113.636963,1200.280518,2108.280762,633,1101.720825,2198.682373,1169.485107,2299.101074,665,1256.030273,2113.636963,1200.280518,2108.280762,624,1149.277100,2131.848389,1108.102661,2172.222168,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,8,1175.729614,2105.922363,1149.277100,2131.848389,1108.102661,2172.222168,1101.720825,2198.682373,1169.485107,2299.101074,1342.142090,2259.146240,1256.030273,2113.636963,1200.280518,2108.280762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1193.406250,-2450.029297,667,1,-1.000000,20000.000000,512,,6,707,1177.447021,-2325.141602,1328.576416,-2432.677979,643,1065.389282,-2395.901367,1177.447021,-2325.141602,600,1057.981689,-2454.612061,1065.389282,-2395.901367,647,1234.403687,-2590.751953,1057.981689,-2454.612061,719,1328.576416,-2432.677979,1244.668335,-2587.763184,699,1244.668335,-2587.763184,1234.403687,-2590.751953,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1244.668335,-2587.763184,1234.403687,-2590.751953,1057.981689,-2454.612061,1065.389282,-2395.901367,1177.447021,-2325.141602,1328.576416,-2432.677979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1200.083984,-2102.204102,668,1,-1.000000,20000.000000,512,,6,707,1269.827881,-2190.817871,1195.187500,-2228.911377,717,1303.703735,-2017.373169,1269.827881,-2190.817871,643,1195.187500,-2228.911377,1066.369019,-2121.978027,604,1066.369019,-2121.978027,1054.997314,-2083.318604,644,1054.997314,-2083.318604,1203.503296,-1967.943481,708,1203.503296,-1967.943481,1303.703735,-2017.373169,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1203.503296,-1967.943481,1303.703735,-2017.373169,1269.827881,-2190.817871,1195.187500,-2228.911377,1066.369019,-2121.978027,1054.997314,-2083.318604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1341.178467,2529.971924,669,2,-1.000000,20000.000000,1025,,4,690,1280.265747,2530.705078,1273.624023,2574.102295,738,1389.630493,2594.429932,1400.446167,2529.254150,730,1321.985596,2645.222412,1389.630493,2594.429932,672,1273.624023,2574.102295,1321.985596,2645.222412,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1273.624023,2574.102295,1321.985596,2645.222412,1389.630493,2594.429932,1400.446167,2529.254150,1280.265747,2530.705078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1222.337158,2511.783447,670,2,-1.000000,20000.000000,1025,,3,691,1290.259277,2465.330322,1133.680542,2444.536621,739,1286.939453,2487.082031,1290.259277,2465.330322,671,1133.680542,2444.536621,1168.407471,2532.450439,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,1133.680542,2444.536621,1168.407471,2532.450439,1286.939453,2487.082031,1290.259277,2465.330322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1114.912354,2554.217529,671,2,-1.000000,20000.000000,1025,,5,670,1168.407471,2532.450439,1133.680542,2444.536621,690,1168.407471,2532.450439,1133.680542,2444.536621,691,1133.680542,2444.536621,1127.010376,2439.168213,613,1127.010376,2439.168213,1106.441406,2467.878662,672,1123.377075,2640.424805,1179.893921,2561.547363,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1123.377075,2640.424805,1179.893921,2561.547363,1168.407471,2532.450439,1133.680542,2444.536621,1127.010376,2439.168213,1106.441406,2467.878662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1207.758789,2620.707031,672,2,-1.000000,20000.000000,0,,8,702,1214.007813,2820.073486,1295.931274,2802.145020,630,1115.978638,2651.941406,1214.007813,2820.073486,730,1295.931274,2802.145020,1321.985596,2645.222412,669,1321.985596,2645.222412,1273.624023,2574.102295,690,1273.624023,2574.102295,1179.893921,2561.547363,671,1179.893921,2561.547363,1123.363770,2640.486328,612,1116.121460,2650.601074,1115.978638,2651.941406,611,1179.893921,2561.547363,1123.363770,2640.486328,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,8,1123.363770,2640.486328,1116.121460,2650.601074,1115.978638,2651.941406,1214.007813,2820.073486,1295.931274,2802.145020,1321.985596,2645.222412,1273.624023,2574.102295,1179.893921,2561.547363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1321.991455,1879.357666,673,2,-1.000000,20000.000000,1025,,6,715,1396.467041,1972.912720,1397.197144,1972.827515,674,1297.790771,1934.145142,1396.467041,1972.912720,728,1397.197144,1972.827515,1389.037598,1929.753906,676,1273.021973,1842.555786,1260.744995,1859.675049,677,1260.744995,1859.675049,1272.908569,1924.364624,714,1297.790771,1934.145142,1396.467041,1972.912720,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,1272.908569,1924.364624,1297.790771,1934.145142,1396.467041,1972.912720,1397.197144,1972.827515,1389.037598,1929.753906,1273.021973,1842.555786,1260.744995,1859.675049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1278.229248,1990.727295,674,2,-1.000000,20000.000000,1025,,3,715,1269.335327,2067.572510,1396.467041,1972.912720,675,1258.165283,2048.706299,1269.335327,2067.572510,673,1396.467041,1972.912720,1297.790771,1934.145142,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,1297.790771,1934.145142,1258.165283,2048.706299,1269.335327,2067.572510,1396.467041,1972.912720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1197.693604,2038.387939,675,2,-1.000000,20000.000000,1025,,5,715,1256.030273,2113.636963,1269.335327,2067.572510,666,1200.429321,2108.317139,1256.030273,2113.636963,674,1269.335327,2067.572510,1258.165649,2048.697998,677,1211.591187,1970.027954,1195.101929,1968.456787,714,1269.335327,2067.572510,1258.165649,2048.697998,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1211.591187,1970.027954,1195.101929,1968.456787,1200.429321,2108.317139,1256.030273,2113.636963,1269.335327,2067.572510,1258.165649,2048.697998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1222.479248,1807.972900,676,2,-1.000000,20000.000000,1025,,4,689,1322.542969,1773.535278,1210.596924,1759.571655,727,1273.017456,1842.574951,1322.542969,1773.535278,673,1273.017456,1842.574951,1322.542969,1773.535278,677,1234.307861,1856.343750,1260.744995,1859.675049,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1234.307861,1856.343750,1260.744995,1859.675049,1273.017456,1842.574951,1322.542969,1773.535278,1210.596924,1759.571655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1210.853516,1900.273438,677,2,-1.000000,20000.000000,0,,9,676,1260.744995,1859.675049,1234.334717,1856.348633,673,1272.908569,1924.364624,1260.744995,1859.675049,687,1260.744995,1859.675049,1234.334717,1856.348633,675,1195.101929,1968.456787,1211.591187,1970.027954,665,1195.101929,1968.456787,1211.591187,1970.027954,688,1149.667603,1845.701538,1112.031982,1869.006714,617,1112.031982,1869.006714,1091.926392,1914.887451,714,1211.591187,1970.027954,1272.908569,1924.364624,625,1091.926392,1914.887451,1120.867432,1961.381836,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,9,1120.867432,1961.381836,1195.101929,1968.456787,1211.591187,1970.027954,1272.908569,1924.364624,1260.744995,1859.675049,1234.334717,1856.348633,1149.667603,1845.701538,1112.031982,1869.006714,1091.926392,1914.887451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1213.951172,-353.966797,678,3,-1.000000,20000.000000,2,,5,645,1092.833862,-378.051941,1207.230347,-226.975967,608,1099.734619,-412.592682,1092.833862,-378.051941,711,1207.230347,-226.975967,1320.562866,-332.019470,653,1215.365601,-467.859344,1099.734619,-412.592682,710,1320.562866,-332.019470,1215.365601,-467.859344,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1320.562866,-332.019470,1215.365601,-467.859344,1099.734619,-412.592682,1092.833862,-378.051941,1207.230347,-226.975967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1217.399414,-3592.542969,679,1,-1.000000,20000.000000,1,,6,626,1159.386108,-3711.612549,1076.096191,-3539.486328,698,1444.546265,-3626.322266,1159.386108,-3711.612549,782,1439.878296,-3582.865234,1444.546265,-3626.322266,713,1243.884521,-3465.919189,1439.878296,-3582.865234,607,1076.096191,-3539.486328,1094.830078,-3508.359619,659,1094.830078,-3508.359619,1243.884521,-3465.919189,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1094.830078,-3508.359619,1243.884521,-3465.919189,1439.878296,-3582.865234,1444.546265,-3626.322266,1159.386108,-3711.612549,1076.096191,-3539.486328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1230.193604,1331.184326,680,3,-1.000000,20000.000000,1025,,5,681,1158.634033,1410.818359,1181.169800,1411.050781,642,1149.359863,1343.820068,1158.634033,1410.818359,722,1259.061279,1284.126221,1233.447754,1250.782593,685,1233.447754,1250.782593,1229.660645,1250.744873,684,1229.660645,1250.744873,1149.359863,1343.820068,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1149.359863,1343.820068,1158.634033,1410.818359,1181.169800,1411.050781,1259.061279,1284.126221,1233.447754,1250.782593,1229.660645,1250.744873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1228.514648,1491.923828,681,3,-1.000000,20000.000000,8192,,7,689,1178.488281,1605.043457,1402.356201,1599.547852,635,1110.498291,1466.623535,1178.488281,1605.043457,683,1297.384277,1412.264648,1181.169800,1411.050781,723,1405.001221,1552.240723,1297.384277,1412.264648,765,1402.356201,1599.547852,1405.001221,1552.240723,642,1158.634033,1410.818481,1110.498291,1466.623535,680,1297.384277,1412.264648,1181.169800,1411.050781,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,1181.169800,1411.050781,1158.634033,1410.818481,1110.498291,1466.623535,1178.488281,1605.043457,1402.356201,1599.547852,1405.001221,1552.240723,1297.384277,1412.264648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1311.969971,1268.312744,682,3,-1.000000,20000.000000,1025,,4,720,1377.972290,1296.015503,1374.218018,1241.987305,723,1310.595581,1351.156616,1377.972290,1296.015503,683,1275.938110,1306.083008,1310.595581,1351.156616,742,1377.972290,1296.015503,1374.218018,1241.987305,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1371.693115,1205.686768,1275.938110,1306.083008,1310.595581,1351.156616,1377.972290,1296.015503,1374.218018,1241.987305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1230.193604,1331.184326,683,3,-1.000000,20000.000000,1025,,4,723,1297.384277,1412.264648,1310.595581,1351.156616,681,1181.111694,1411.050293,1297.384277,1412.264648,722,1275.958374,1306.091431,1259.062256,1284.114990,682,1275.958374,1306.091431,1259.062256,1284.114990,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,1259.062256,1284.114990,1181.111694,1411.050293,1297.384277,1412.264648,1310.595581,1351.156616,1275.958374,1306.091431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1150.011475,1262.021729,684,3,-1.000000,20000.000000,1025,,3,685,1229.660645,1250.744873,1169.306152,1196.932251,680,1149.359863,1343.820068,1229.660645,1250.744873,642,1130.725952,1327.173462,1149.359863,1343.820068,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,1149.359863,1343.820068,1229.660645,1250.744873,1169.306152,1196.932251,1130.725952,1327.173462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1231.772461,1170.344727,685,3,-1.000000,20000.000000,0,,8,743,1358.400146,1148.495361,1311.674561,475.251648,722,1233.447754,1250.782593,1358.400146,1148.495361,638,1152.643555,721.600342,1145.596558,1175.786987,582,1223.557983,468.768494,1152.643555,721.600342,711,1311.674561,475.251648,1223.557983,468.768494,640,1145.596558,1175.786987,1169.306152,1196.932251,680,1229.660645,1250.744873,1233.447754,1250.782593,684,1145.596558,1175.786987,1169.306152,1196.932251,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,8,1229.660645,1250.744873,1233.447754,1250.782593,1358.400146,1148.495361,1311.674561,475.251648,1223.557983,468.768494,1152.643555,721.600342,1145.596558,1175.786987,1169.306152,1196.932251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,1232.508789,-850.001953,686,3,-1.000000,20000.000000,512,,6,734,1336.496094,-801.754272,1351.497925,-900.809448,700,1168.763184,-745.518127,1336.496094,-801.754272,609,1112.752563,-911.843811,1100.495850,-873.110718,660,1228.442017,-955.497925,1112.752563,-911.843811,709,1351.497925,-900.809448,1228.442017,-955.497925,631,1100.495850,-873.110718,1168.763184,-745.518127,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,1100.495850,-873.110718,1168.763184,-745.518127,1336.496094,-801.754272,1351.497925,-900.809448,1228.442017,-955.497925,1112.752563,-911.843811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
